p1,p2
1,33
1,563
1,564
1,565
1,566
2,341
2,689
2,690
2,691
2,692
2,693
2,694
3,53
4,712
5,379
5,713
5,714
5,3218
6,652
6,697
6,746
6,747
6,748
6,749
6,750
6,751
6,752
7,753
7,754
7,755
7,756
7,757
7,758
7,759
7,760
8,776
9,52
9,741
9,871
9,872
9,873
10,925
10,926
11,782
11,948
11,949
11,950
12,951
12,952
12,953
12,954
13,90
13,1044
14,622
14,1081
14,1082
14,1083
14,1084
14,1085
14,1086
15,53
15,67
15,74
15,1088
16,602
16,1114
17,31
17,75
17,1136
17,1137
17,1138
17,1139
17,1140
17,1141
17,1142
18,1143
18,1144
18,1145
18,1146
18,1147
18,1148
18,1149
18,1150
19,53
19,1334
19,1335
19,1336
20,101
20,588
20,1339
20,1340
21,1341
21,1342
21,1343
22,748
22,1003
23,882
23,885
23,886
23,1392
23,1480
23,1481
23,1482
23,1483
24,77
24,706
24,721
24,751
24,1240
24,1493
24,1494
24,1495
24,1496
25,1532
25,1533
25,1534
26,1595
27,110
27,348
27,989
27,1194
27,1203
27,1729
28,741
28,838
28,859
28,1732
28,1733
29,109
29,114
30,48
30,64
30,78
30,1770
30,1771
30,1772
31,17
31,48
31,573
31,1658
31,1806
32,33
32,34
32,510
32,890
32,892
32,893
32,896
33,1
33,32
33,34
33,510
33,890
33,892
33,1918
34,32
34,33
34,510
34,892
34,893
34,895
34,897
34,1963
34,1973
34,1974
35,36
35,155
35,859
36,35
37,38
37,424
37,1130
37,1137
37,1285
37,1324
37,2027
37,2064
37,2065
38,37
38,48
38,1130
38,1137
38,1285
38,1324
38,2065
38,2066
38,2067
39,94
39,244
39,519
39,924
40,48
40,56
40,60
40,1127
40,2027
40,2032
40,2191
40,2192
41,72
41,80
41,110
41,1600
41,1601
41,2065
41,2202
42,46
42,69
42,82
42,88
42,692
42,693
42,1605
42,1816
42,1818
42,2231
42,2232
43,904
43,913
43,1239
43,2309
43,2310
43,2311
43,2312
44,838
44,2658
44,3072
44,3073
45,1609
45,1792
46,42
46,1670
46,2232
46,2755
46,3086
46,3087
46,3088
46,3089
47,748
47,910
47,2155
47,2210
47,3096
47,3097
47,3098
47,3099
47,3100
48,30
48,31
48,38
48,40
48,78
48,2027
49,1634
49,1635
49,1654
49,1723
49,2016
49,3101
49,3102
50,486
51,97
51,677
51,1813
51,1862
51,3147
51,3148
52,9
52,705
52,741
52,1410
52,1462
52,1945
52,1956
52,3151
52,3152
53,3
53,15
53,19
53,57
53,67
53,74
53,1603
54,576
54,577
54,1520
54,3168
54,3169
54,3170
54,3171
55,619
55,894
55,2404
55,3172
56,40
56,115
56,615
57,53
57,74
57,78
57,91
57,168
58,740
58,758
58,1447
58,1894
58,2154
58,3212
58,3251
58,3252
58,3253
58,3254
58,3255
59,1181
59,1205
59,1863
59,2014
59,3073
59,3272
59,3273
59,3274
60,40
60,62
60,75
60,1140
60,3300
61,723
61,726
61,1658
61,3339
62,60
62,70
62,75
62,3344
62,3345
62,3346
62,3347
62,3348
62,3349
62,3350
62,3514
63,745
63,3226
63,3351
63,3352
64,30
64,75
64,1153
64,1770
64,2562
64,3154
64,3203
65,854
65,1643
65,1902
65,3048
65,3199
65,3331
65,3443
66,2676
66,2924
66,3396
66,3465
67,15
67,53
67,74
67,1087
67,1347
67,1742
67,3165
68,887
68,928
68,3205
68,3494
69,42
69,692
69,693
69,1816
69,3157
70,62
70,1290
70,1734
70,3347
70,3512
70,3513
70,3514
71,3525
71,3575
71,3576
72,41
72,80
72,110
72,1600
72,1601
73,694
73,3166
74,15
74,53
74,57
74,67
74,86
74,114
75,17
75,60
75,62
75,64
75,1139
75,1792
76,3626
77,24
77,92
77,493
77,751
78,30
78,48
78,57
78,91
78,1126
78,1127
78,3634
79,955
79,2870
79,3635
79,3636
79,3637
79,3638
79,3639
79,3640
80,41
80,72
80,110
80,1600
80,1601
80,1602
80,2115
81,611
81,758
81,1053
81,3459
81,3669
82,42
82,692
82,1604
82,1606
82,2232
82,3173
83,632
83,3705
83,3706
84,1235
84,1550
84,3004
84,3708
85,971
85,1194
86,74
86,93
86,109
86,114
86,1119
86,3871
87,570
87,599
87,916
88,42
88,341
88,691
88,692
88,693
88,1670
88,1816
88,1818
88,2231
88,2232
88,3157
88,3173
89,4221
89,4222
90,13
90,853
90,1957
91,57
91,78
91,2065
91,3335
92,77
92,700
92,717
92,721
92,722
92,1124
92,1441
92,2066
92,3149
92,4285
93,86
93,109
94,39
94,1080
94,1358
95,4337
95,4338
96,1922
96,2241
96,2806
96,4467
97,51
97,1484
97,1729
97,1862
98,518
98,2005
98,4526
99,422
99,3386
100,726
100,877
100,888
100,4613
100,4614
101,20
101,505
101,1339
101,1340
101,2767
102,1305
102,1626
102,1774
102,1775
103,1109
103,1114
103,1533
103,2011
103,2105
104,1552
104,1554
104,1559
104,1560
104,1562
104,1563
104,1776
104,1777
105,690
105,1087
105,4312
106,554
106,768
106,1566
107,751
107,1140
107,1658
107,3238
107,3349
108,1076
108,1077
108,1169
108,2449
109,29
109,86
109,93
109,1307
109,2101
110,27
110,41
110,72
110,80
110,894
110,1601
110,1602
111,729
111,888
111,997
111,1152
111,1617
111,1733
111,2128
111,3151
111,3318
112,1526
112,3529
113,199
113,962
113,1219
113,2406
114,29
114,74
114,86
115,56
115,561
115,827
115,2410
115,2607
115,3255
115,4406
115,4673
115,4778
116,828
116,969
116,1041
116,1133
116,1538
117,940
117,1441
117,1445
117,1457
117,3030
118,2423
119,166
119,226
119,2798
120,202
121,553
121,757
121,1315
121,1513
121,1514
121,1658
121,1745
122,2729
122,2750
122,4910
122,4911
123,416
123,2969
124,4852
125,506
125,4456
125,4973
126,499
126,2412
126,5004
127,951
127,1841
127,1844
127,1856
127,3339
127,3416
127,4193
127,4782
128,3568
128,5006
129,247
129,5022
129,5023
129,5024
130,131
131,130
131,217
132,1676
132,2623
133,4259
133,4363
134,3282
134,3801
135,1970
135,2363
135,2403
135,5052
136,284
136,1421
136,3071
137,612
137,2404
137,2405
137,3174
137,3488
137,4380
137,4638
137,4639
137,4640
137,5060
138,168
138,309
138,312
138,5071
139,2765
139,3824
139,5074
140,416
141,3351
141,4314
141,4961
141,5075
142,2371
142,5088
143,302
143,4593
143,5092
144,197
144,2394
144,4568
145,2755
146,183
146,1637
147,841
147,1792
147,2894
147,3065
147,5129
148,768
148,999
148,3072
148,3225
148,5130
149,151
149,591
149,1135
149,3069
150,3724
150,3927
150,3946
150,5133
151,149
151,1415
151,3069
151,3925
151,4688
152,193
152,1586
152,1668
152,5180
153,835
153,858
154,4681
155,35
155,2647
156,200
156,2443
156,4410
156,5185
156,5186
156,5187
157,2915
157,3956
158,1344
158,3219
159,179
159,374
159,536
159,2432
160,529
161,520
161,2953
162,206
162,277
162,327
162,344
